,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
0,Blade of Tyshalle,Matthew Woodring Stover,252,4807,4.06,800,2002,2001,1,"Fantasy,Science Fiction,Fiction",,,https://www.goodreads.com/book/show/304123.Blade_of_Tyshalle
1,City of Dragons,Robin Hobb,1193,26639,4.09,334,2012,2011,1,"Fantasy,Fantasy > Dragons,Fiction",,,https://www.goodreads.com/book/show/11801463-city-of-dragons
2,The Pool of Two Moons,Kate Forsyth,75,4296,4.17,557,1999,1998,1,"Fantasy,Fiction,Fantasy > Magic",,,https://www.goodreads.com/book/show/264066.The_Pool_of_Two_Moons
3,The Curse Giver,Dora Machado,138,1874,3.62,510,2013,,0,"Fantasy,Romance,Romance > Fantasy Romance",,,https://www.goodreads.com/book/show/18170141-the-curse-giver
4,Kingsride,Krystine Kercher,3,6,4.83,205,2013,,1,Christian Fiction,,,https://www.goodreads.com/book/show/17665155-kingsride
5,The Wind Through the Keyhole,Stephen King,5485,70858,4.15,322,2012,2012,1,"Fantasy,Fiction,Horror",Goodreads Choice Award for Fantasy (2012),,https://www.goodreads.com/book/show/12341557-the-wind-through-the-keyhole
6,Wizardborn,David Farland,129,9321,3.84,502,2002,2001,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,,https://www.goodreads.com/book/show/144109.Wizardborn
7,The Golem and the Jinni,Helene Wecker,13612,115940,4.08,486,2013,,1,"Fantasy,Historical > Historical Fiction,Fiction","Nebula Award Nominee for Best Novel (2013), Locus Award Nominee for Best First Novel (2014), World Fantasy Award Nominee for Best Novel (2014), Mythopoeic Fantasy Award for Adult Literature (2014), Cabell First Novelist Award (2014) ...more","New York City, New York,The Syrian Desert",https://www.goodreads.com/book/show/15819028-the-golem-and-the-jinni
8,Magic Casement,Dave Duncan,143,3074,4.02,382,2002,1990,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,,https://www.goodreads.com/book/show/57691.Magic_Casement
9,Imager,L.E. Modesitt Jr.,494,8711,4.01,432,2009,,1,"Fantasy,Fiction,Fantasy > Magic",,,https://www.goodreads.com/book/show/4643301-imager
10,The Tiger's Daughter,K. Arsenault Rivera,741,3099,3.83,526,2017,,1,"Fantasy,LGBT,Young Adult","Locus Award Nominee for Best First Novel (2018), James Tiptree Jr. Award Nominee for Longlist (2017)",,https://www.goodreads.com/book/show/29760778-the-tiger-s-daughter
11,The Shadow of the Wind,Carlos Ruiz ZafÃ³n,40466,528486,4.27,487,2005,2001,1,"Fiction,Historical > Historical Fiction,Mystery","Barry Award for Best First Novel (2005), Gumshoe Award Nominee for Best European Crime Novel (2005), Borders Original Voices Award for Fiction (2004), Dilys Award Nominee (2005), Humo's Gouden Bladwijzer (2006) ...more","Spain,Barcelona, Catalonia",https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
12,Crazy For Alice,Alex Dunn,30,66,4.14,206,2016,2016,0,"Young Adult,Fiction",,,https://www.goodreads.com/book/show/30981004-crazy-for-alice
13,The Annotated Legends,Margaret Weis,49,1600,4.41,1312,2003,1988,1,"Fantasy,Dungeons and Dragons > Dragonlance,Science Fiction Fantasy",,,https://www.goodreads.com/book/show/174524.The_Annotated_Legends
14,Talyn,Holly Lisle,67,822,3.81,592,2006,2005,1,"Fantasy,Fiction,Romance",,,https://www.goodreads.com/book/show/362888.Talyn
15,The Anvil of Ice,Michael Scott Rohan,79,1215,3.95,354,1995,1986,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",IAFA William L. Crawford Fantasy Award (1991),,https://www.goodreads.com/book/show/285746.The_Anvil_of_Ice
16,Mort,Terry Pratchett,5814,217887,4.2,243,2001,1987,1,"Fantasy,Fiction,Humor",Margaret A. Edwards Award (2011),,https://www.goodreads.com/book/show/386372.Mort
17,The Lightning Thief,Rick Riordan,69393,2273341,4.27,377,2006,2005,1,"Fantasy,Young Adult,Fantasy > Mythology","Young Readers' Choice Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008) ...more","New York City, New York,Montauk, New York,New Jersey,,,",https://www.goodreads.com/book/show/28187.The_Lightning_Thief
18,Guardians of the Keep,Carol Berg,53,1879,3.86,528,2004,,1,"Fantasy,Fiction,Science Fiction Fantasy",,,https://www.goodreads.com/book/show/437787.Guardians_of_the_Keep
19,The One Kingdom,Sean Russell,92,1712,3.71,544,2002,2001,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,,https://www.goodreads.com/book/show/618180.The_One_Kingdom
