,Unnamed: 0,title,author,Reviews,Total_ratings,Average_rating,num_pages,original_publish_year,series,genres,awards,url
0,0,The Battle For Brisingamen,Harmony Kent,0.02204724409448819,0.0015088013411567478,0.46341463414634165,244.0,2013.0,0,,,https://www.goodreads.com/book/show/18270590-the-battle-for-brisingamen
1,1,Nevermor,Lani Lenore,0.05511811023622047,0.015842414082145855,0.7024390243902439,389.0,2013.0,1,"Fantasy,Retellings,Young Adult",,https://www.goodreads.com/book/show/17367700-nevermor
2,2,Segolia: Daughter of Prophecy,Brittany Oldroyd,0.01889763779527559,0.0019279128248114,0.8390243902439025,308.0,2013.0,0,,,https://www.goodreads.com/book/show/17731831-segolia
3,3,A Woman Scarred,G.T. Lines,0.004724409448818898,0.0006705783738474435,0.8243902439024391,416.0,2012.0,0,,,https://www.goodreads.com/book/show/18341139-a-woman-scarred
4,4,Assassin's Gambit,Amy Raby,0.2992125984251969,0.1366303436714166,0.36097560975609766,400.0,2013.0,1,"Fantasy,Romance,Romance > Fantasy Romance",,https://www.goodreads.com/book/show/15808673-assassin-s-gambit
5,5,"The Wolf Lord (Wolf Lord Saga, #1)",Robert A. Fee,0.0,0.00041911148365465214,0.6780487804878048,718.0,2012.0,0,,,https://www.goodreads.com/book/show/16047719-the-wolf-lord
6,6,The Hobble Knobble Gobble Tree - a middle grade fantasy,Camille Singleton,0.0031496062992125984,0.0010896898575020956,0.5560975609756098,312.0,2013.0,0,Childrens > Middle Grade,,https://www.goodreads.com/book/show/18437653-the-hobble-knobble-gobble-tree---a-middle-grade-fantasy
7,7,Slumbering,C.S. Johnson,0.11338582677165354,0.0250628667225482,0.3902439024390245,206.0,2012.0,1,"Fantasy,Young Adult,Fiction",,https://www.goodreads.com/book/show/17240480-slumbering
8,8,Rise of the Destroyer,A.R. Voss,0.048818897637795275,0.007208717518860017,0.3170731707317074,204.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17279085-rise-of-the-destroyer
9,9,The Cost of Haven,F.F. McCulligan,0.011023622047244094,0.0014249790444258172,0.7024390243902439,452.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17714772-the-cost-of-haven
10,10,Stillwell,Michael Phillip Cash,0.3606299212598425,0.08130762782900253,0.5658536585365852,137.0,2013.0,0,"Horror,Fantasy > Paranormal,Mystery",,https://www.goodreads.com/book/show/18106337-stillwell
11,11,Qualia,Marie Browne,0.026771653543307086,0.0024308466051969823,0.6780487804878048,410.0,2013.0,0,"Fantasy,Fantasy > Urban Fantasy,Fiction",,https://www.goodreads.com/book/show/17922149-qualia
12,12,A Conspiracy of Wizards: Book One of the Cloven Accord,Steve Harvey,0.004724409448818898,0.0010896898575020956,0.8292682926829265,312.0,2005.0,0,,,https://www.goodreads.com/book/show/558003.A_Conspiracy_of_Wizards
13,13,Path of Power: The First Great Misfortune,H.O. De Jonge,0.011023622047244094,0.0014249790444258172,0.9219512195121953,311.0,2013.0,0,,,https://www.goodreads.com/book/show/18366092-path-of-power
14,14,End of the Beginning,Jon Snyder,0.012598425196850394,0.014417435037720035,0.3365853658536586,352.0,2013.0,0,Science Fiction,,https://www.goodreads.com/book/show/18430440-end-of-the-beginning
15,15,The Erl King's Children,Jordan Leah Hunter,0.006299212598425197,0.0006705783738474435,0.3804878048780489,439.0,2013.0,0,Fantasy,,https://www.goodreads.com/book/show/18627949-the-erl-king-s-children
16,16,Dawn of the Knight I - Xeltian Invitation,Steven M. Vincent,0.007874015748031496,0.001005867560771165,0.8146341463414635,389.0,,1,Fantasy,,https://www.goodreads.com/book/show/17250780-dawn-of-the-knight-i---xeltian-invitation
17,17,The Last Enchanter (Celestine Chronicles #2),Laurisa White Reyes,0.01889763779527559,0.00796311818943839,0.6195121951219511,404.0,2013.0,0,"Fantasy,Childrens > Middle Grade,Childrens",,https://www.goodreads.com/book/show/17465737-the-last-enchanter
18,18,Fire-Heart,C.S. Marks,0.03622047244094488,0.023470243084660523,0.6146341463414633,524.0,2013.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,https://www.goodreads.com/book/show/18649732-fire-heart
19,19,Where the Deer Dwell,Dorothy Gravelle,0.015748031496062992,0.006202849958088852,0.448780487804878,310.0,2012.0,0,"Science Fiction > Time Travel,Romance,Fantasy",,https://www.goodreads.com/book/show/14789333-where-the-deer-dwell
20,20,Kings of the Red Shell,R.A. White,0.01732283464566929,0.0037720033528918697,0.9121951219512197,453.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/18881530-kings-of-the-red-shell
21,21,A Warrior's Redemption,Guy S. Stanton III,0.05511811023622047,0.01709974853310981,0.5365853658536586,,2013.0,1,"Fantasy,Christian Fiction,Christian",,https://www.goodreads.com/book/show/18744221-a-warrior-s-redemption
22,22,A Perception of Dreams,Andrea Gerber,0.006299212598425197,0.0008382229673093043,0.9317073170731704,219.0,2013.0,0,,,https://www.goodreads.com/book/show/15821760-a-perception-of-dreams
23,23,The Witch's Price,S.M. White,0.02204724409448819,0.0029337803855825654,0.043902439024390505,202.0,2013.0,1,,,https://www.goodreads.com/book/show/18113151-the-witch-s-price
24,24,The Return of the Ancient Ones,Gary Caplan,0.004724409448818898,0.00041911148365465214,0.3756097560975611,262.0,2010.0,0,,,https://www.goodreads.com/book/show/10985578-the-return-of-the-ancient-ones
25,25,Blast of the Dragon's Fury,L.R.W. Lee,0.4456692913385827,0.09077954735959766,0.4878048780487805,220.0,2013.0,1,"Fantasy,Childrens,Fantasy > Dragons",,https://www.goodreads.com/book/show/17796199-blast-of-the-dragon-s-fury
26,26,The Pleasure of Memory,Welcome Cole,0.01889763779527559,0.0018440905280804694,0.4975609756097561,550.0,2013.0,0,,,https://www.goodreads.com/book/show/18698039-the-pleasure-of-memory
27,27,A Flight of Marewings,Kristen S. Walker,0.029921259842519685,0.0024308466051969823,0.6634146341463414,,2014.0,1,"Fantasy,Young Adult",,https://www.goodreads.com/book/show/18782556-a-flight-of-marewings
28,28,Zein: The Prophecy,Graham J. Wood,0.009448818897637795,0.0021793797150041917,0.5414634146341464,222.0,2014.0,0,"Science Fiction,Fantasy",,https://www.goodreads.com/book/show/20633884-zein
29,29,Black Jack: A Moving Novel,A.R. Witham,0.0031496062992125984,0.000586756077116513,0.8,550.0,2013.0,0,,,https://www.goodreads.com/book/show/19444043-black-jack
30,30,Tolomay's World The Splitting of The Trunk,M.E. Lorde,0.011023622047244094,0.0009220452640402348,0.8,378.0,2013.0,1,,,https://www.goodreads.com/book/show/20256771-tolomay-s-world-the-splitting-of-the-trunk
31,31,R.E.M.,Corrie Fischer,0.025196850393700787,0.015088013411567477,0.224390243902439,244.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/19357503-r-e-m
32,32,The Wizard of Oz and Other Wonderful Books of Oz: The Emerald City of Oz and Glinda of Oz,L. Frank Baum,0.10236220472440945,0.22682313495389775,0.5707317073170732,432.0,2012.0,1,"Classics,Fantasy,Fiction",,https://www.goodreads.com/book/show/13013592-the-wizard-of-oz-and-other-wonderful-books-of-oz
33,33,Auvreria,Viktoriya Molchanova,0.01732283464566929,0.0014249790444258172,0.4585365853658536,145.0,2014.0,0,"Fantasy,Young Adult",,https://www.goodreads.com/book/show/20411784-auvreria
34,34,Call Off The Search,Natasja Hellenthal,0.04094488188976378,0.004442581726739313,0.4439024390243904,294.0,2013.0,1,"Fantasy,LGBT,Fantasy > Paranormal",,https://www.goodreads.com/book/show/21343669-call-off-the-search
35,35,"Steel, Blood & Fire",Allan Batchelder,0.09763779527559055,0.021542330259849123,0.6195121951219511,614.0,2013.0,1,"Fantasy,Fantasy > Dark Fantasy,Fantasy > High Fantasy",,https://www.goodreads.com/book/show/17337942-steel-blood-fire
36,36,The High Sorcerer's Gift,Ryan Hunt,0.0,0.00025146689019279133,0.8,45.0,2014.0,0,,,https://www.goodreads.com/book/show/20534351-the-high-sorcerer-s-gift
37,37,The Vullens' Curse,Natasha House,0.04409448818897638,0.006957250628667226,0.45365853658536603,108.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17856259-the-vullens-curse
38,38,Ann Marie's Asylum,Christopher Rankin,0.014173228346456693,0.010813076278290026,0.29756097560975636,,2013.0,1,"Horror,Fantasy,Young Adult",,https://www.goodreads.com/book/show/19358045-ann-marie-s-asylum
39,39,Dragon Guardian: Fire,Aida Jacobs,0.012598425196850394,0.0015088013411567478,0.6243902439024389,392.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/20625411-dragon-guardian
40,40,The War of the Stolen Mother,Lorinda J. Taylor,0.004724409448818898,0.00041911148365465214,0.7414634146341463,415.0,2012.0,1,Science Fiction,,https://www.goodreads.com/book/show/15773135-the-war-of-the-stolen-mother
41,41,Island of Fire,Lisa McMann,0.9307086614173228,0.9430846605196983,0.7560975609756098,464.0,2013.0,1,"Fantasy,Childrens > Middle Grade,Young Adult",,https://www.goodreads.com/book/show/17063691-island-of-fire
42,42,Caitlin Goddess of Peace,Debbie Behan,0.0,0.0,0.7170731707317073,578.0,2017.0,1,,,https://www.goodreads.com/book/show/20408906-caitlin-goddess-of-peace
43,43,The Art of Magic,Sharon Wheater,0.006299212598425197,0.0011735121542330261,0.697560975609756,338.0,2013.0,1,,,https://www.goodreads.com/book/show/19207133-the-art-of-magic
44,44,The Eternal War Box Set,Holly Vane,0.0015748031496062992,0.00025146689019279133,0.5560975609756098,419.0,2013.0,0,,,https://www.goodreads.com/book/show/19175100-the-eternal-war-box-set
45,45,Wolf Moon,C.D. Gorri,0.1858267716535433,0.015842414082145855,0.7121951219512195,,2014.0,1,"Fantasy > Paranormal,Fantasy,Romance",,https://www.goodreads.com/book/show/20932870-wolf-moon
46,46,The Army of Mab,R. Lee Smith,0.031496062992125984,0.03612740989103101,0.6243902439024389,856.0,2010.0,1,"Fantasy,Romance,Fantasy > Paranormal",,https://www.goodreads.com/book/show/9393725-the-army-of-mab
47,47,Salvation,A.M.C.,0.02204724409448819,0.0021793797150041917,0.5560975609756098,725.0,2014.0,0,"Science Fiction,Fantasy",,https://www.goodreads.com/book/show/21447909-salvation
48,48,Darkwells,R.A. Humphry,0.007874015748031496,0.0006705783738474435,0.6878048780487804,255.0,2013.0,0,,,https://www.goodreads.com/book/show/18480654-darkwells
49,49,Second on the Right,Elizabeth Los,0.04094488188976378,0.0037720033528918697,0.5951219512195123,506.0,2014.0,0,"Fantasy,Fiction,Retellings",,https://www.goodreads.com/book/show/18459893-second-on-the-right
50,50,Splintered,Hope Christine,0.006299212598425197,0.0008382229673093043,0.5951219512195123,325.0,2014.0,1,,,https://www.goodreads.com/book/show/21474286-splintered
51,51,Kendra Kandlestar and the Box of Whispers,Lee Edward Födi,0.04409448818897638,0.010393964794635373,0.6146341463414633,240.0,2013.0,1,"Fantasy,Childrens,Childrens > Middle Grade",,https://www.goodreads.com/book/show/17572336-kendra-kandlestar-and-the-box-of-whispers
52,52,The Shifter,Janice Hardy,0.7543307086614173,0.49748533109807214,0.47317073170731727,370.0,2009.0,1,"Fantasy,Young Adult,Fantasy > Magic",,https://www.goodreads.com/book/show/6316125-the-shifter
53,53,Joinings,Stuart Aken,0.012598425196850394,0.0008382229673093043,0.8926829268292684,824.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/21803264-joinings
54,54,Shadows of the Keeper,Karey Brown,0.025196850393700787,0.009974853310980721,0.5073170731707317,520.0,2013.0,0,"Science Fiction > Time Travel,Fantasy","Writer's Digest Self-Published Book Competition for Fiction (2014), Writer's Digest Self-Published e-Book Award for Genre Fiction (2014)",https://www.goodreads.com/book/show/19494442-shadows-of-the-keeper
55,55,Flight,Jason A. Cheek,0.025196850393700787,0.016345347862531435,0.531707317073171,344.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/22009174-flight
56,56,Sheepfarmer's Daughter,Elizabeth Moon,1.0,1.0000000000000002,0.6195121951219511,506.0,1988.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy","Locus Award Nominee for Best First Novel (1989), Compton Crook Award (1989)",https://www.goodreads.com/book/show/1559985.Sheepfarmer_s_Daughter
57,57,The Spirit of Imagination,S.A. Tawks,0.08503937007874016,0.006454316848281643,0.3317073170731708,135.0,2013.0,1,"Fantasy,Adventure,Young Adult",,https://www.goodreads.com/book/show/17936156-the-spirit-of-imagination
58,58,Sword of Justice,Chris Wraight,0.01889763779527559,0.012573344509639565,0.551219512195122,416.0,2010.0,1,"Fantasy,Fiction",,https://www.goodreads.com/book/show/7095092-sword-of-justice
59,59,Roan,E.R. Barr,0.06771653543307087,0.010561609388097234,0.5804878048780486,,2012.0,1,,Next Generation Indie Book Awards Nominee for Science Fiction/Fantasy (2013),https://www.goodreads.com/book/show/21687329-roan
60,60,Reborn,Cherie Reich,0.04409448818897638,0.004694048616932104,0.6536585365853658,,2014.0,1,"Fantasy,Young Adult",,https://www.goodreads.com/book/show/17900718-reborn
61,61,The Starblood Trilogy,Carmilla Voiez,0.015748031496062992,0.0019279128248114,0.5560975609756098,837.0,2014.0,0,Horror,,https://www.goodreads.com/book/show/22105599-the-starblood-trilogy
62,62,The Ballad of the Broken Soldier,Ash Stinson,0.0031496062992125984,0.0,0.22926829268292703,306.0,2014.0,0,,,https://www.goodreads.com/book/show/21941497-the-ballad-of-the-broken-soldier
63,63,La Colonna di Antanacara - Avvento,Ronnie Pizzo,0.01732283464566929,0.0019279128248114,0.7073170731707317,496.0,2014.0,0,,,https://www.goodreads.com/book/show/22236571-la-colonna-di-antanacara---avvento
64,64,The Leopard Vanguard,T.A. Uner,0.13070866141732285,0.013076278290025148,0.5365853658536586,404.0,2013.0,1,"Fantasy,Historical > Historical Fiction,Historical",,https://www.goodreads.com/book/show/18383197-the-leopard-vanguard
65,65,Possession of My Soul,Kia Carrington-Russell,0.08976377952755905,0.43864207879295897,0.3317073170731708,230.0,2014.0,1,"Fantasy,Romance,Young Adult",,https://www.goodreads.com/book/show/21878763-possession-of-my-soul
66,66,Learning to Kiss in the Snow,D.B. Tarpley,0.0,0.004610226320201174,0.5463414634146342,273.0,2014.0,0,"Horror,Fiction,Fantasy",,https://www.goodreads.com/book/show/22821333-learning-to-kiss-in-the-snow
67,67,The Fate of Vultures,Jessica O'Toole,0.015748031496062992,0.0015088013411567478,0.6048780487804877,,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/22328392-the-fate-of-vultures
68,68,In Siege of Daylight,Gregory S. Close,0.028346456692913385,0.006370494551550713,0.5170731707317073,618.0,2013.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,https://www.goodreads.com/book/show/17900556-in-siege-of-daylight
69,69,Nomad,Joanne Hall,0.025196850393700787,0.004442581726739313,0.6682926829268296,350.0,2014.0,1,"Fantasy,Romance",,https://www.goodreads.com/book/show/21824659-nomad
70,70,Tome of the Undergates,Sam Sykes,0.28818897637795277,0.13227158424140822,0.23902439024390265,612.0,2010.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,https://www.goodreads.com/book/show/7378426-tome-of-the-undergates
71,71,Fractured Dream,K.M. Randall,0.12755905511811022,0.010813076278290026,0.40487804878048794,410.0,2014.0,1,"Fantasy,Young Adult,Fantasy > Fairy Tales",,https://www.goodreads.com/book/show/21857830-fractured-dream
72,72,Oníris - A Dádiva dos Deuses,Rita Vilela,0.0015748031496062992,0.0018440905280804694,0.5951219512195123,336.0,2010.0,1,,,https://www.goodreads.com/book/show/8249178-on-ris---a-d-diva-dos-deuses
73,73,The Firelord's Crown,Dee Harrison,0.03622047244094488,0.0036043587594300087,0.6292682926829272,442.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/18399575-the-firelord-s-crown
74,74,Chandrea - The Return of the Avatar Queen,Marlene Wynn,0.03464566929133858,0.004191114836546521,0.5658536585365852,468.0,2014.0,1,"Fantasy,Fantasy > Paranormal,Fiction",,https://www.goodreads.com/book/show/22605642-chandrea---the-return-of-the-avatar-queen
75,75,STRUGGS,Brad Hecht,0.0031496062992125984,0.0001676445934618608,0.751219512195122,291.0,2014.0,0,,,https://www.goodreads.com/book/show/21899425-struggs
76,76,Ladies and Gentlemen of Fantasy 2014,Jennifer L. Miller,0.0015748031496062992,0.00025146689019279133,0.6390243902439023,430.0,2014.0,0,Fantasy,,https://www.goodreads.com/book/show/22756473-ladies-and-gentlemen-of-fantasy-2014
77,77,Reign: Genesis,Jeffrey Wergin,0.031496062992125984,0.002095557418273261,0.46829268292682924,378.0,2013.0,0,,,https://www.goodreads.com/book/show/18138964-reign
78,78,The Last Pages,Lara Whatley,0.01889763779527559,0.0024308466051969823,0.6341463414634145,250.0,2014.0,0,"Fantasy,Fantasy > Paranormal",,https://www.goodreads.com/book/show/22008448-the-last-pages
79,79,My Two Cents: Cici and Tati: Where The World of Fitness Meets The Multiple Shades of Gray,Ahmad Baari,0.0015748031496062992,0.0001676445934618608,0.9463414634146339,,2014.0,0,,,https://www.goodreads.com/book/show/22884686-my-two-cents
80,80,Azlander: Second Nature,Gabriel Brunsdon,0.012598425196850394,0.0027661357921207044,0.5707317073170732,430.0,2012.0,0,"Fantasy,Fiction",,https://www.goodreads.com/book/show/19380557-azlander
81,81,Legend of the Mystic Knights,W.A. Rusho,0.012598425196850394,0.0006705783738474435,1.0000000000000002,310.0,2014.0,0,,,https://www.goodreads.com/book/show/22999130-legend-of-the-mystic-knights
82,82,The Fall of Night's Blood - Part 3,Al Hawkins,0.0031496062992125984,0.00025146689019279133,0.5560975609756098,456.0,2013.0,1,,,https://www.goodreads.com/book/show/19393215-the-fall-of-night-s-blood---part-3
83,83,Aranya,Marc Secchia,0.2,0.09002514668901929,0.6146341463414633,454.0,2014.0,1,"Fantasy,Fantasy > Dragons,Young Adult",,https://www.goodreads.com/book/show/22428704-aranya
84,84,In Your Dreams,John Swan,0.009448818897637795,0.0011735121542330261,0.7560975609756098,276.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/22664583-in-your-dreams
85,85,Strange Science Fiction and Fantasy Omnibus,Benson Grayson,0.014173228346456693,0.0015926236378876783,0.0,,2014.0,0,Science Fiction,,https://www.goodreads.com/book/show/23268276-strange-science-fiction-and-fantasy-omnibus
86,86,Krispos the Emperor,Harry Turtledove,0.014173228346456693,0.03445096395641241,0.4390243902439024,387.0,1994.0,1,"Fantasy,Science Fiction,Fiction",,https://www.goodreads.com/book/show/101552.Krispos_the_Emperor
87,87,The Falcon's Eye,S. Nathan,0.006299212598425197,0.0009220452640402348,0.6243902439024389,540.0,2014.0,0,,,https://www.goodreads.com/book/show/23277659-the-falcon-s-eye
88,88,Final Reverie,Essel Pratt,0.006299212598425197,0.0011735121542330261,0.697560975609756,129.0,2014.0,0,,,https://www.goodreads.com/book/show/22694603-final-reverie
89,89,Shield of the Palidine,Barbara T. Cerny,0.006299212598425197,0.00025146689019279133,0.9609756097560977,364.0,2012.0,0,,Readers' Favorite Book Award (2015),https://www.goodreads.com/book/show/16292346-shield-of-the-palidine
90,90,Age of the Seer,Michael Joseph Murano,0.02047244094488189,0.011986588432523052,0.5073170731707317,474.0,2014.0,1,"Fantasy,Young Adult > Young Adult Fantasy,Young Adult",,https://www.goodreads.com/book/show/23271747-age-of-the-seer
91,91,The White Horseman,J.S. Graydon,0.014173228346456693,0.0022632020117351213,0.8341463414634147,308.0,2014.0,0,Fantasy,,https://www.goodreads.com/book/show/23324262-the-white-horseman
92,92,Philistine (A Tale of Goliath),Steven Shrewsbury,0.009448818897637795,0.0006705783738474435,0.6878048780487804,445.0,2014.0,0,,,https://www.goodreads.com/book/show/21176260-philistine
93,93,Buan: The Perfect Mortals,Reece Bridger,0.03464566929133858,0.004274937133277452,0.5902439024390245,452.0,2014.0,0,Fantasy,,https://www.goodreads.com/book/show/23236382-buan
94,94,The Parallel Place,Cheryl Skory Suma,0.03622047244094488,0.0027661357921207044,0.7609756097560976,322.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/23508588-the-parallel-place
95,95,Crave (The Grigory Celestial Chronicles #1),A.J. James,0.015748031496062992,0.001005867560771165,0.8487804878048777,467.0,2013.0,0,,,https://www.goodreads.com/book/show/18810126-crave
96,96,Odes,Michael Arthur Bucko,0.011023622047244094,0.0014249790444258172,0.8731707317073172,164.0,2014.0,0,,,https://www.goodreads.com/book/show/23400620-odes
97,97,The Watcher's Keep,Timothy Bond,0.028346456692913385,0.00402347024308466,0.5560975609756098,777.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/23661075-the-watcher-s-keep
98,98,Poems of Varsian Lore: Chronicles of the Varsian Kingdom,Jason Hein,0.004724409448818898,0.00041911148365465214,0.7414634146341463,34.0,2014.0,0,,,https://www.goodreads.com/book/show/23629677-poems-of-varsian-lore
99,99,El espíritu del mago,Javier Negrete,0.04251968503937008,0.039815590947191955,0.6536585365853658,712.0,2005.0,1,"Fantasy,Fiction",,https://www.goodreads.com/book/show/3012206-el-esp-ritu-del-mago
